#Coincident events which overlap by the sum of both gatelengths.
Ch0 time/s;(time ch.0 - time ch.1)/ns;energy ch.0;energy ch.1
5301.76395589525;-72.875;264;7
5301.917248662001;58;119;33
5301.9425004175;-144.1875;313;622
5302.3855024671875;-19.1875;104;51
5302.45031904;42.65625;157;6
5303.010952488;-140.8125;240;31
5303.119435459999;-101.625;246;36
5304.117396184;-202.3125;343;28
5304.203212405812;-34.625;268;6
5304.329822178657;-8.65625;4;66
5304.417263446844;-226.0625;198;40
5304.703414298657;-126.65625;68;25
5304.966862208001;-26.6875;131;26
5305.403094083531;-200.875;331;49
5305.651500521126;-73.125;9;5
5306.118684874;-58;319;34
5307.891451824;-172.8125;270;71
5307.958475028001;-12;144;65
5308.961050404;-90.3125;32516;1941
5309.015271074158;-122.15625;91;5
5309.7627156516255;-103.625;155;50
5309.794224586375;-186.375;333;25
5310.061311094657;-184.28125;252;50
5310.217820918845;-10.84375;4;3
5310.353029252563;129.4375;251;35
5311.293620917531;-147.9375;194;6
5311.435869137594;-131.21875;267;4
5311.582200502844;-94.84375;61;30
5311.748679032;-80;196;50
5311.833235116001;-212;285;8
5312.149570253313;122.6875;52;42
5313.010675588564;-0.5625;226;49
5313.23498892;-100;294;26
5313.653824841313;-227.3125;180;44
5313.703119153313;-113.3125;99;30
5313.880826962094;-54.09375;289;923
5314.111328332781;-196.78125;282;5
5314.252022267407;47.25;100;7
5314.706631717688;-127.3125;273;31
5315.499260009001;-155.6875;150;171
5315.77035112;276;38;63
5315.883791982219;-35.625;27754;731
5316.044360499188;-160.53125;156;33
5316.571969613001;-91.40625;335;34
5316.646377671;393;36;43
5317.425685964;52;125;22
5317.549911238;-55.34375;342;21
5317.969058744;-150.6875;329;35
5318.268968041;-196.4375;4;2
5318.956914495312;-107.3125;201;154
5319.316452147999;-196;131;50
5319.3398979697495;78.25;61;45
5319.508098261313;2.6875;66;35
5319.5914486383745;-235.1875;185;26
5320.517707308;-192;173;40
5321.458463188001;-120;197;37
5321.728411070844;-150.84375;73;78
5322.093914817594;105.59375;255;409
5322.291016954;-178;134;52
5322.462197160001;-160;140;3
5322.805927810437;-26.4375;104;62
5322.854935712001;-24;76;41
5322.887758312001;-136;337;23
5323.044640002657;93.34375;194;41
5323.2731774506565;-28.65625;230;32
5323.584200896;-98;249;36
5324.385848337312;25.34375;174;35
5324.446164260781;-65.375;344;4
5324.6452358387505;345.25;66;97
5324.785816023999;-22.6875;314;26
5324.900296784562;-204.5625;242;77
5325.483530468;84;184;35
5325.562399094751;-6.75;265;71
5325.702291864;80;206;37
5325.995696265126;86.875;134;31
5326.370442642657;117.34375;121;3
5326.722655706;-189.21875;3;4
5326.854941512657;82;118;96
5327.34280844675;-176.75;209;111
5327.473961101313;-205.3125;194;116
5327.625343224;-144;321;35
5327.683841276468;-168.84375;32551;1394
5328.177108976;113.3125;291;53
5328.427202270531;65.46875;168;58
5328.776399154906;67.46875;321;53
5329.809772269001;96.3125;8;5
5329.9556544160005;-13.34375;124;3
5330.153447738531;-153.9375;792;333
5330.3899809375935;-115.59375;173;62
5330.541352318375;-100.09375;328;28
5330.952497516;-209.71875;338;24
5331.375381262;-240.6875;153;23
5331.93224723;-105.4375;330;23
5331.933578713406;-113.40625;154;117
5332.578537090657;161.34375;101;30
5332.623569990844;65.15625;48;46
5332.9289975431875;-41.875;199;63
5333.072993596001;-164;181;25
5333.603304127094;-144.4375;297;54
5334.447376793031;-141.46875;31334;1435
5334.486364946657;-66.65625;98;24
5334.525222909687;-155.6875;226;51
5334.781998441001;-137;175;4
5335.270684554438;405.5625;50;142
5335.600989861001;7;237;4
5335.717626557001;-190.625;3;4
5335.996812181312;-1149.3125;135;21
5336.426236190657;-168.65625;170;119
5336.535958032;-203.21875;320;8
5336.647367316;-69.625;296;56
5336.991014046219;-168.21875;209;40
5337.331797909313;-121.3125;3;80
5337.476511470657;81.34375;64;32
5337.551759165312;58.6875;75;31
5337.5769573743755;-152.375;235;27
5337.583179566907;1.09375;101;150
5337.607127252562;-92.5625;229;35
5338.129630920001;-104;56;27
5338.941751572;-194.875;334;30
5339.624736652438;-96.4375;255;58
5339.751204933313;-213.3125;106;4
5339.8718393863755;-158.96875;317;41
5339.963746218375;24.28125;123;42
5340.036597086531;49.46875;81;85
5340.157996542656;-25.34375;232;4
5341.05728776;-158.40625;222;3
5341.468304620344;-89.6875;200;57
5341.892987214844;-128.46875;8;5
5342.2107697715;-152.84375;136;5
5342.333472592;-61.34375;371;26
5342.610033884;-29.625;293;26
5342.747760791406;-7.40625;110;103
5342.780611188001;-25.34375;344;27
5342.798541986657;-186.65625;205;23
5343.240919053313;-97.3125;112;23
5343.64475992;385.3125;8;34
5344.231505796;-97.34375;140;21
5344.602463245687;-139.03125;318;35
5344.712342556782;-146.125;5;2
5344.868149408281;-184.28125;796;602
5344.974971834282;83.71875;231;111
5344.9874150586575;61.34375;76;6
5345.271807305594;-190.9375;682;41
5345.414380808001;-162.6875;129;31
5345.832698390219;-63.84375;251;52
5345.952220453844;-9.84375;145;63
5345.987639683189;-131.1875;272;29
5346.139184054375;117.625;84;100
5346.333071813312;42.6875;246;5
5346.476944143001;-195.8125;269;31
5347.527703680001;-152;5;4
5347.662676979313;-47.3125;126;6
5348.077613691001;-155;161;27
5348.477006572563;-137.90625;340;6
5348.673697811406;80.59375;113;29
5348.8553078971245;-119.125;247;93
5349.346246787188;-79.1875;109;5
5349.386023884001;-20;149;21
5349.847384301313;-21.3125;46;7
5350.247280477312;-218.65625;319;42
5350.414112738906;-218.90625;293;60
5350.711292134844;-181.25;240;49
5351.241493226;-139.34375;345;45
5351.276656818657;-30.65625;130;68
5351.600770651313;-81.71875;250;86
5351.677381654657;-42.65625;64;34
5351.8410780386575;-190.65625;7;6
5352.145482452781;-166.40625;204;23
5352.471851781313;80.6875;265;65
5352.766614072;-181.34375;10;4
5352.9397153165;-191.84375;1249;88
5353.126810949157;-71.84375;163;119
5353.281947151188;-69.59375;306;54
5353.429245486001;-198;91;28
5353.494913645625;102.375;84;106
5353.763929612781;-110.78125;160;78
5353.949771552;16;105;54
5354.097999853688;-29.6875;1318;35
5354.163048812468;-82.0625;19587;830
5354.452386846844;105.15625;41;37
5354.763270880875;-228.875;151;53
5354.968512305095;-191.09375;129;6
5355.134483449593;136;283;50
5355.328242336;-154;8;60
5355.649423172438;-40.4375;116;38
5356.646544797;49.375;298;59
5357.000232565;-11;234;53
5357.084040626438;85.5625;104;5
5358.977977622;-84;226;4
5359.9331876999995;-168;171;5
5361.074938136;-10.6875;157;24
5364.234606449375;6.375;2002;849
