TRACING ASCII File
Created by MP-OS program
COMMENT
 
HEADER
Start at: 	16-12-21 11:46 AM
Timebase: 	0.5 sec.
Operator: 	ME            90° Magnet
Operator units: 	A
Monitor1: 	FC7a         ME Moveable
Monitor1 units: 	% f.s.
 
 
 
 
 
 
 
 
DATA
O setting 	M1 reading 	
88.218 	0.00	 
88.268 	0.00	 
88.318 	0.00	 
88.368 	0.00	 
88.418 	0.00	 
88.468 	0.00	 
88.518 	0.00	 
88.568 	0.00	 
88.618 	0.00	 
88.668 	0.00	 
88.718 	0.00	 
88.768 	0.00	 
88.818 	0.00	 
88.868 	0.00	 
88.918 	0.00	 
88.968 	0.00	 
89.018 	0.00	 
89.068 	0.00	 
89.118 	0.00	 
89.168 	0.00	 
89.218 	0.00	 
89.268 	0.00	 
89.318 	0.00	 
89.368 	0.00	 
89.418 	0.00	 
89.468 	0.00	 
89.518 	0.00	 
89.568 	0.00	 
89.619 	0.00	 
89.669 	0.00	 
89.719 	0.00	 
89.769 	0.00	 
89.819 	0.00	 
89.869 	0.00	 
89.919 	0.00	 
89.969 	0.00	 
90.019 	0.00	 
90.069 	0.00	 
90.119 	0.00	 
90.169 	0.00	 
90.219 	0.00	 
90.269 	0.00	 
90.319 	0.00	 
90.369 	0.00	 
90.419 	0.00	 
90.469 	0.00	 
90.519 	0.00	 
90.569 	0.00	 
90.619 	0.00	 
90.669 	1.71	 
90.719 	10.09	 
90.769 	10.09	 
90.819 	13.60	 
90.869 	13.89	 
90.919 	11.62	 
90.969 	2.78	 
91.019 	0.07	 
91.069 	0.00	 
91.119 	0.00	 
91.169 	0.00	 
91.220 	0.00	 
91.270 	0.00	 
91.320 	0.00	 
91.370 	0.00	 
91.420 	0.00	 
91.470 	0.00	 
91.520 	0.00	 
91.570 	0.00	 
91.620 	0.00	 
91.670 	0.00	 
91.720 	0.00	 
91.770 	0.00	 
91.820 	0.00	 
91.870 	0.00	 
91.920 	0.00	 
91.970 	0.00	 
92.020 	0.00	 
92.070 	0.00	 
92.120 	0.00	 
92.170 	0.00	 
92.220 	0.00	 
92.270 	0.00	 
92.320 	0.00	 
92.370 	0.00	 
92.420 	0.00	 
92.470 	0.00	 
92.520 	0.00	 
92.570 	0.00	 
92.620 	0.00	 
92.670 	0.00	 
92.720 	0.00	 
92.770 	0.00	 
92.821 	0.00	 
92.871 	0.00	 
92.921 	0.00	 
92.971 	0.00	 
93.021 	0.00	 
93.071 	0.00	 
93.121 	0.00	 
93.171 	0.00	 
93.221 	0.00	 
93.271 	0.00	 
93.321 	0.00	 
93.371 	0.00	 
93.421 	0.00	 
93.471 	0.00	 
93.521 	0.00	 
93.571 	0.00	 
93.621 	0.00	 
93.671 	0.00	 
93.721 	0.00	 
93.771 	0.00	 
93.821 	0.00	 
93.871 	0.00	 
93.921 	0.00	 
93.971 	0.00	 
94.021 	0.00	 
94.071 	0.00	 
94.121 	0.00	 
94.171 	0.00	 
94.221 	0.00	 
94.271 	0.00	 
94.321 	0.00	 
94.371 	0.00	 
94.422 	0.00	 
94.472 	0.00	 
94.522 	0.00	 
94.572 	0.00	 
94.622 	0.00	 
94.672 	0.00	 
94.722 	0.00	 
94.772 	0.00	 
94.822 	0.00	 
94.872 	0.00	 
94.922 	0.00	 
94.972 	0.00	 
95.022 	0.00	 
95.072 	0.00	 
95.122 	0.00	 
95.172 	0.00	 
95.222 	0.00	 
95.272 	0.00	 
95.322 	0.00	 
95.372 	0.00	 
95.422 	0.00	 
95.472 	0.00	 
95.522 	0.00	 
95.572 	0.00	 
95.622 	0.00	 
95.672 	0.00	 
95.722 	0.00	 
95.772 	0.00	 
95.822 	0.00	 
95.872 	0.00	 
95.922 	0.00	 
95.972 	0.00	 
96.023 	0.00	 
96.073 	0.00	 
96.123 	0.00	 
96.173 	0.00	 
96.223 	0.00	 
96.273 	0.00	 
96.323 	0.00	 
96.373 	0.00	 
96.423 	0.00	 
96.473 	0.00	 
96.523 	0.00	 
96.573 	0.00	 
96.623 	0.00	 
96.673 	0.00	 
96.723 	0.00	 
96.773 	0.00	 
96.823 	0.00	 
96.873 	0.00	 
96.923 	0.00	 
96.973 	0.00	 
97.023 	0.00	 
97.073 	0.00	 
97.123 	0.00	 
97.173 	0.00	 
97.223 	0.00	 
97.273 	0.00	 
97.323 	0.00	 
97.373 	0.00	 
97.423 	0.00	 
97.473 	0.00	 
97.523 	0.00	 
97.573 	0.00	 
97.624 	0.00	 
97.674 	0.00	 
97.724 	0.00	 
97.774 	0.00	 
97.824 	0.00	 
97.874 	0.00	 
97.924 	0.00	 
97.974 	0.00	 
98.024 	0.00	 
98.074 	0.00	 
98.124 	0.00	 
98.174 	0.00	 
98.224 	0.00	 
98.274 	0.00	 
98.324 	0.00	 
98.374 	0.00	 
98.424 	0.00	 
98.474 	0.00	 
98.524 	0.00	 
98.574 	0.00	 
98.624 	0.00	 
98.674 	0.00	 
98.724 	0.00	 
98.774 	0.00	 
98.824 	0.00	 
98.874 	0.00	 
98.924 	0.00	 
98.974 	0.00	 
99.024 	0.00	 
99.074 	0.00	 
99.124 	0.00	 
99.174 	0.00	 
99.225 	0.00	 
99.275 	0.00	 
99.325 	0.00	 
99.375 	0.00	 
99.425 	0.00	 
99.475 	0.00	 
99.525 	0.00	 
99.575 	0.00	 
99.625 	0.00	 
99.675 	0.00	 
99.725 	0.00	 
99.775 	0.00	 
99.825 	0.00	 
99.875 	0.00	 
99.925 	0.00	 
99.975 	0.00	 
100.025 	0.00	 
100.075 	1.00	 
100.125 	1.00	 
100.175 	10.99	 
100.225 	11.21	 
100.275 	11.21	 
100.325 	10.84	 
100.375 	4.37	 
