TRACING ASCII File
Created by MP-OS program
COMMENT
 
HEADER
Start at: 	16-12-21 11:04 AM
Timebase: 	1 sec.
Operator: 	BI                  90° Magnet
Operator units: 	A
Monitor1: 	Current Converter
Monitor1 units: 	A
 
 
 
 
 
 
 
 
DATA
O setting 	M1 reading 	Cur Conv Target 	Cur Conv Settings 	
70.969 	0.000e+000	 FC5 Qsnout	 15876	 
71.069 	0.000e+000	 FC5 Qsnout	 15876	 
71.169 	0.000e+000	 FC5 Qsnout	 15876	 
71.269 	0.000e+000	 FC5 Qsnout	 15876	 
71.370 	0.000e+000	 FC5 Qsnout	 15876	 
71.470 	-1.324e-009	 FC5 Qsnout	 48644	 
71.570 	-3.277e-009	 FC5 Qsnout	 48644	 
71.670 	-6.288e-009	 FC5 Qsnout	 48644	 
71.771 	-5.807e-009	 FC5 Qsnout	 48644	 
71.871 	-3.045e-009	 FC5 Qsnout	 48644	 
71.971 	3.810e-010	 FC5 Qsnout	 15876	 
72.071 	0.000e+000	 FC5 Qsnout	 15876	 
72.171 	0.000e+000	 FC5 Qsnout	 15876	 
72.272 	0.000e+000	 FC5 Qsnout	 15876	 
72.372 	0.000e+000	 FC5 Qsnout	 15876	 
72.472 	0.000e+000	 FC5 Qsnout	 15876	 
72.572 	-6.496e-010	 FC5 Qsnout	 48644	 
72.673 	-8.156e-010	 FC5 Qsnout	 48644	 
72.773 	-8.254e-010	 FC5 Qsnout	 48644	 
72.873 	-4.274e-010	 FC5 Qsnout	 48644	 
72.973 	0.000e+000	 FC5 Qsnout	 15876	 
73.073 	0.000e+000	 FC5 Qsnout	 15876	 
73.174 	0.000e+000	 FC5 Qsnout	 15876	 
73.274 	0.000e+000	 FC5 Qsnout	 15876	 
73.374 	0.000e+000	 FC5 Qsnout	 15876	 
73.474 	-6.545e-010	 FC5 Qsnout	 48644	 
73.575 	-5.001e-009	 FC5 Qsnout	 48644	 
73.675 	9.990e+002	 FC5 Qsnout	 65028	 
73.775 	-3.302e-008	 FC5 Qsnout	 48388	 
73.875 	-1.170e-008	 FC5 Qsnout	 48388	 
73.976 	-2.779e-009	 FC5 Qsnout	 48644	 
74.076 	1.465e-010	 FC5 Qsnout	 15876	 
74.176 	0.000e+000	 FC5 Qsnout	 15876	 
74.276 	0.000e+000	 FC5 Qsnout	 15876	 
74.376 	0.000e+000	 FC5 Qsnout	 15876	 
74.477 	0.000e+000	 FC5 Qsnout	 15876	 
74.577 	-5.226e-010	 FC5 Qsnout	 48644	 
74.677 	-1.480e-009	 FC5 Qsnout	 48644	 
74.777 	-1.832e-009	 FC5 Qsnout	 48644	 
74.878 	-1.636e-009	 FC5 Qsnout	 48644	 
74.978 	-7.228e-010	 FC5 Qsnout	 48644	 
75.078 	3.419e-011	 FC5 Qsnout	 15876	 
75.178 	0.000e+000	 FC5 Qsnout	 15876	 
75.278 	0.000e+000	 FC5 Qsnout	 15876	 
75.379 	0.000e+000	 FC5 Qsnout	 15876	 
75.479 	0.000e+000	 FC5 Qsnout	 15876	 
75.579 	0.000e+000	 FC5 Qsnout	 15876	 
75.679 	0.000e+000	 FC5 Qsnout	 15876	 
75.780 	0.000e+000	 FC5 Qsnout	 15876	 
75.880 	0.000e+000	 FC5 Qsnout	 15876	 
75.980 	0.000e+000	 FC5 Qsnout	 15876	 
76.080 	0.000e+000	 FC5 Qsnout	 15876	 
76.180 	0.000e+000	 FC5 Qsnout	 15876	 
76.281 	0.000e+000	 FC5 Qsnout	 15876	 
76.381 	0.000e+000	 FC5 Qsnout	 15876	 
76.481 	0.000e+000	 FC5 Qsnout	 15876	 
76.581 	0.000e+000	 FC5 Qsnout	 15876	 
76.682 	0.000e+000	 FC5 Qsnout	 15876	 
76.782 	0.000e+000	 FC5 Qsnout	 15876	 
76.882 	0.000e+000	 FC5 Qsnout	 15876	 
76.982 	0.000e+000	 FC5 Qsnout	 15876	 
77.082 	0.000e+000	 FC5 Qsnout	 15876	 
77.183 	0.000e+000	 FC5 Qsnout	 15876	 
77.283 	0.000e+000	 FC5 Qsnout	 15876	 
77.383 	0.000e+000	 FC5 Qsnout	 15876	 
77.483 	0.000e+000	 FC5 Qsnout	 15876	 
77.584 	-9.475e-010	 FC5 Qsnout	 48644	 
77.684 	-1.651e-009	 FC5 Qsnout	 48644	 
77.784 	-1.690e-009	 FC5 Qsnout	 48644	 
77.884 	-1.128e-009	 FC5 Qsnout	 48644	 
77.984 	-4.371e-010	 FC5 Qsnout	 48644	 
78.085 	2.442e-011	 FC5 Qsnout	 15876	 
78.185 	0.000e+000	 FC5 Qsnout	 15876	 
78.285 	0.000e+000	 FC5 Qsnout	 15876	 
78.385 	-3.111e-009	 FC5 Qsnout	 48644	 
78.486 	-8.681e-008	 FC5 Qsnout	 48388	 
78.586 	-5.783e-007	 FC5 Qsnout	 48132	 
78.686 	-2.860e-007	 FC5 Qsnout	 48132	 
78.786 	-2.686e-007	 FC5 Qsnout	 48132	 
78.886 	-1.734e-007	 FC5 Qsnout	 48132	 
78.987 	-1.158e-008	 FC5 Qsnout	 48388	 
79.087 	6.349e-011	 FC5 Qsnout	 15876	 
79.187 	0.000e+000	 FC5 Qsnout	 15876	 
79.287 	0.000e+000	 FC5 Qsnout	 15876	 
79.388 	0.000e+000	 FC5 Qsnout	 15876	 
79.488 	-4.664e-010	 FC5 Qsnout	 48644	 
79.588 	-9.524e-010	 FC5 Qsnout	 48644	 
79.688 	-1.050e-009	 FC5 Qsnout	 48644	 
79.788 	-8.547e-010	 FC5 Qsnout	 48644	 
79.889 	-3.761e-010	 FC5 Qsnout	 48644	 
79.989 	1.954e-011	 FC5 Qsnout	 15876	 
80.089 	0.000e+000	 FC5 Qsnout	 15876	 
80.189 	0.000e+000	 FC5 Qsnout	 15876	 
80.290 	-4.689e-010	 FC5 Qsnout	 48644	 
80.390 	-4.274e-009	 FC5 Qsnout	 48644	 
80.490 	-8.845e-009	 FC5 Qsnout	 48644	 
80.590 	-1.000e-008	 FC5 Qsnout	 48644	 
80.690 	-3.592e-008	 FC5 Qsnout	 48388	 
80.791 	-4.835e-009	 FC5 Qsnout	 48388	 
80.891 	-1.011e-009	 FC5 Qsnout	 48644	 
80.991 	3.663e-011	 FC5 Qsnout	 15876	 
81.091 	0.000e+000	 FC5 Qsnout	 15876	 
81.192 	0.000e+000	 FC5 Qsnout	 15876	 
81.292 	0.000e+000	 FC5 Qsnout	 15876	 
81.392 	0.000e+000	 FC5 Qsnout	 15876	 
81.492 	0.000e+000	 FC5 Qsnout	 15876	 
81.592 	0.000e+000	 FC5 Qsnout	 15876	 
81.693 	0.000e+000	 FC5 Qsnout	 15876	 
81.793 	0.000e+000	 FC5 Qsnout	 15876	 
81.893 	0.000e+000	 FC5 Qsnout	 15876	 
81.993 	0.000e+000	 FC5 Qsnout	 15876	 
82.094 	0.000e+000	 FC5 Qsnout	 15876	 
82.194 	0.000e+000	 FC5 Qsnout	 15876	 
82.294 	0.000e+000	 FC5 Qsnout	 15876	 
82.394 	0.000e+000	 FC5 Qsnout	 15876	 
82.494 	0.000e+000	 FC5 Qsnout	 15876	 
82.595 	0.000e+000	 FC5 Qsnout	 15876	 
82.695 	0.000e+000	 FC5 Qsnout	 15876	 
82.795 	0.000e+000	 FC5 Qsnout	 15876	 
82.895 	0.000e+000	 FC5 Qsnout	 15876	 
82.996 	2.442e-012	 FC5 Qsnout	 15876	 
83.096 	0.000e+000	 FC5 Qsnout	 15876	 
83.196 	0.000e+000	 FC5 Qsnout	 15876	 
83.296 	0.000e+000	 FC5 Qsnout	 15876	 
83.396 	0.000e+000	 FC5 Qsnout	 15876	 
83.497 	-1.905e-010	 FC5 Qsnout	 48644	 
83.597 	-2.247e-010	 FC5 Qsnout	 48644	 
83.697 	0.000e+000	 FC5 Qsnout	 15876	 
83.797 	0.000e+000	 FC5 Qsnout	 15876	 
83.898 	0.000e+000	 FC5 Qsnout	 15876	 
83.998 	0.000e+000	 FC5 Qsnout	 15876	 
84.098 	0.000e+000	 FC5 Qsnout	 15876	 
84.198 	-4.469e-010	 FC5 Qsnout	 48644	 
84.298 	-8.938e-010	 FC5 Qsnout	 48644	 
84.399 	-9.158e-010	 FC5 Qsnout	 48644	 
84.499 	-7.009e-010	 FC5 Qsnout	 48644	 
84.599 	-2.979e-010	 FC5 Qsnout	 48644	 
84.699 	0.000e+000	 FC5 Qsnout	 15876	 
84.800 	0.000e+000	 FC5 Qsnout	 15876	 
84.900 	0.000e+000	 FC5 Qsnout	 15876	 
85.000 	-2.327e-009	 FC5 Qsnout	 48644	 
