TRACING ASCII File
Created by MP-OS program
COMMENT
 
HEADER
Start at: 	16-12-21 11:13 AM
Timebase: 	1 sec.
Operator: 	BI                  90° Magnet
Operator units: 	A
Monitor1: 	Current Converter
Monitor1 units: 	A
 
 
 
 
 
 
 
 
DATA
O setting 	M1 reading 	Cur Conv Target 	Cur Conv Settings 	
66.759 	0.000e+000	 FC5 Qsnout	 15876	 
66.860 	0.000e+000	 FC5 Qsnout	 15876	 
66.960 	0.000e+000	 FC5 Qsnout	 15876	 
67.060 	-5.233e-009	 FC5 Qsnout	 48644	 
67.160 	-9.797e-009	 FC5 Qsnout	 48644	 
67.261 	-1.214e-008	 FC5 Qsnout	 48388	 
67.361 	-8.498e-009	 FC5 Qsnout	 48388	 
67.461 	-1.482e-009	 FC5 Qsnout	 48644	 
67.561 	0.000e+000	 FC5 Qsnout	 15876	 
67.661 	0.000e+000	 FC5 Qsnout	 15876	 
67.762 	0.000e+000	 FC5 Qsnout	 15876	 
67.862 	0.000e+000	 FC5 Qsnout	 15876	 
67.962 	0.000e+000	 FC5 Qsnout	 15876	 
68.062 	0.000e+000	 FC5 Qsnout	 15876	 
68.163 	-1.363e-009	 FC5 Qsnout	 48644	 
68.263 	-3.536e-009	 FC5 Qsnout	 48644	 
68.363 	-3.912e-009	 FC5 Qsnout	 48644	 
68.463 	-3.792e-009	 FC5 Qsnout	 48644	 
68.563 	-8.742e-010	 FC5 Qsnout	 48644	 
68.664 	0.000e+000	 FC5 Qsnout	 15876	 
68.764 	0.000e+000	 FC5 Qsnout	 15876	 
68.864 	0.000e+000	 FC5 Qsnout	 15876	 
68.964 	0.000e+000	 FC5 Qsnout	 15876	 
69.065 	0.000e+000	 FC5 Qsnout	 15876	 
69.165 	-1.455e-009	 FC5 Qsnout	 48644	 
69.265 	9.990e+002	 FC5 Qsnout	 65028	 
69.365 	-6.313e-008	 FC5 Qsnout	 48388	 
69.465 	-2.010e-007	 FC5 Qsnout	 48132	 
69.566 	-1.597e-007	 FC5 Qsnout	 48132	 
69.666 	-2.212e-008	 FC5 Qsnout	 48388	 
69.766 	-2.225e-008	 FC5 Qsnout	 48388	 
69.866 	3.419e-011	 FC5 Qsnout	 15876	 
69.967 	0.000e+000	 FC5 Qsnout	 15876	 
70.067 	0.000e+000	 FC5 Qsnout	 15876	 
70.167 	0.000e+000	 FC5 Qsnout	 15876	 
70.267 	0.000e+000	 FC5 Qsnout	 15876	 
